Catagory,Product,Product ID,Product Detail,Color,Price,URL,Image url
Shirt,Men White Solid Mandarin-Collar Regular Fit Casual Shirt,SPRKX001,"Key Features:
Collar Type: Mandarin collar
Sleeve Type: Long roll-up sleeves
Hemline: Curved hem
Placket: Full-length button placket
Fit: Regular fit
Pattern: Solid color
Occasion: Casual wear
Transparency: Opaque

Size & Fit:
Fit: Regular Fit
Model Details: 6' tall, wearing size 40

Material & Care:
Fabric: 100% Cotton
Care Instructions: Machine wash

Specifications:
Sleeve Length: Long sleeves
Collar: Mandarin collar
Hemline: Curved
Placket Type: Button placket
Cuff Type: Button cuffs
Weave Pattern: Regular
Main Trend: New Basics
Number of Items: 1

This casual shirt offers a perfect blend of comfort and style, making it suitable for everyday wear. The mandarin collar and roll-up sleeves provide versatility, allowing it to transition seamlessly between relaxed and semi-formal occasions.",white,700,https://www.myntra.com/shirts/roadster/the-roadster-lifestyle-co-men-white-solid-mandarin-collar-regular-fit-casual-shirt/15557606/buy,"https://assets.myntassets.com/w_412,q_60,dpr_2,fl_progressive/assets/images/15557606/2022/2/18/e1dd9df0-22b4-49db-9e79-debfcb4f25121645166321178-Roadster-Men-Shirts-1941645166320637-1.jpg"
Shirt,The Lifestyle Co Men Blue Regular Fit Faded Denim Sustainable Casual Shirt,SPRKX002,"Blue faded denim casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket

Size & Fit
Regular Fit
The model (height 6') is wearing a size 40

Material & Care
Material: Cotton
Machine Wash

Specifications
Sleeve Length
Long Sleeves
Collar
Spread Collar
Fit
Regular Fit
Print or Pattern Type
Solid
Occasion
Casual
Length
Regular
Hemline
Curved
Placket
Button Placket
Placket Length
Full
Number of Pockets
1
Pocket Type
Patch
Cuff
Button
Transparency
Opaque
Weave Pattern
Denim
Surface Styling
Chest Pocket
Main Trend
New Basics",Blue faded,1000,https://www.myntra.com/shirts/roadster/the-roadster-lifestyle-co-men-blue-regular-fit-faded-denim-sustainable-casual-shirt/10944690/buy,"https://assets.myntassets.com/w_412,q_60,dpr_2,fl_progressive/assets/images/10944690/2020/2/17/4654f155-cba3-42d7-aebe-e45c4427cfe71581939309576-Roadster-Men-Shirts-5081581939307278-1.jpg"
Shirt,Men Slim Fit Pure Cotton Formal Shirt,SPRKX003,"Peach-coloured micro ditsy self design opaque Formal shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem

Size & Fit
Fit: Slim Fit
The model (height 6') is wearing a size 40

Material & Care
100% Cotton 
Machine wash

Specifications
Sleeve Length
Long Sleeves
Collar
Spread Collar
Fit
Slim Fit
Print or Pattern Type
Micro Ditsy
Occasion
Formal
Length
Regular
Hemline
Curved
Placket
Button Placket
Placket Length
Full
Number of Pockets
1
Pocket Type
Patch
Cuff
Button
Transparency
Opaque
Weave Pattern
Regular
Surface Styling
Chest Pocket
Main Trend
Micro or Ditsy Print
Number of Items
1
Package Contains
1 shirt",Peach,699,https://www.myntra.com/shirts/park+avenue/park-avenue-men-slim-fit-pure-cotton-formal-shirt/24842502/buy,"https://assets.myntassets.com/dpr_1.5,q_60,w_400,c_limit,fl_progressive/assets/images/24842470/2024/1/22/70fdae8a-2692-404e-9ef7-0e2e7bb08d741705897444670-Park-Avenue-Men-Shirts-5651705897444222-1.jpg"
Shirt,Men's Shirt,SPRKX004,"Product details
Material composition100% Cotton
PatternSolid
Fit typeSlim Fit
Sleeve typeLong Sleeve
Collar styleCutaway
LengthStandard Length
Country of OriginIndia
About this item
Ceremony Wear Self Design Shirt
Semi Cut Away Collar
Dobby Weave
Formal Shirt",maroon,899,https://www.amazon.in/Arrow-Mens-Slim-Shirt-ARADOSH1313_Maroon/dp/B0C24DVKJG/ref=sr_1_2_sspa?crid=2RTRS9OHXJ1V6&dib=eyJ2IjoiMSJ9.cir-30-76rsO-m_0TkLVUJdmJ3_SVX-D8sHF1WFwIZKNXT_uD5wZ_cir9hYcTiwY4wmdXAJPYbu8zDUnNovJ2zXSWzREdzrD1HBMNQA7rJXZMFQKUH8LtAVcTIiYKhie4cuQ8EIw9O2zUvLCTGprnubIb6f8Hy45V_PnxQpdkd9iamZfhVaa-smOI1Z85fvW7EUvHH72ReVHhejbpr6SRb2tFJ54zp50eKBE0UdvS6ApuicqAOxNRrAYsrm1DfIGXL5CQtadj4YJrYueP7cLzKQywlfhAgGQaqKwrERF5nk.z2VQPwSc6G7IrvRTFFTE8aA3PtviA3htl4KR6p5ddnI&dib_tag=se&keywords=shirt+for+men&qid=1721330213&sprefix=shirt%2Caps%2C327&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,https://m.media-amazon.com/images/I/51xQtMFRcCL._SX569_.jpg
Shirt,Men's Checked Full Sleeve Slim Fit Cotton Formal Shirt,SPRKX005,"Product details
Material composition100% Cotton
PatternCheckered
Fit typeSlim Fit
Sleeve typeLong Sleeve
Collar styleCutaway
LengthStandard Length
Country of OriginIndia
About this item
Classic Checkered Formal Shirt
Semi Cut Away Collar
Dobby Weave
Formal Shirt",light blue,849,https://www.amazon.in/Arrow-Mens-Slim-Shirt-ARADOSH1335_Medium/dp/B0C24DZ2Y2/ref=pd_day0fbt_thbs_d_sccl_2/261-2724292-2125735?pd_rd_w=ZLcqV&content-id=amzn1.sym.9fcd4617-323e-42b7-9728-3395e1b2fea0&pf_rd_p=9fcd4617-323e-42b7-9728-3395e1b2fea0&pf_rd_r=T893ATFBVV6AYH3EY7G5&pd_rd_wg=1I6ZA&pd_rd_r=5c2196fa-6fad-4526-a3ef-23d22cd42c08&pd_rd_i=B0C24DZ2Y2&psc=1,https://m.media-amazon.com/images/I/814X-vPOgOL._SX569_.jpg
Shirt,Men's Cotton Chequered Fashion Slim Fit Formal Shirt,SPRKX006,"Material composition100% Cotton
PatternCheckered
Fit typeSlim Fit
Sleeve typeLong Sleeve
Collar styleClassic collar
LengthStandard Length
Country of OriginIndia
About this item
Check
Formal
Regular Collar
Full Sleeves",purple,599,https://www.amazon.in/Van-Heusen-Mens-Shirt-VHSFRSLBQ10400_Purple/dp/B0B5YD2RM8/ref=pd_day0fbt_thbs_d_sccl_2/261-2724292-2125735?pd_rd_w=FX6hx&content-id=amzn1.sym.9fcd4617-323e-42b7-9728-3395e1b2fea0&pf_rd_p=9fcd4617-323e-42b7-9728-3395e1b2fea0&pf_rd_r=2JEBS360K30F81D2MBT1&pd_rd_wg=KZV4y&pd_rd_r=722b4881-d22b-4410-ac55-26bda44e7c09&pd_rd_i=B0B5YD2RM8&psc=1,https://m.media-amazon.com/images/I/71q6k2FetDL._SY741_.jpg
Shirt,Men's Shirt,SPRKX007,"Material composition100% Cotton
PatternSolid
Fit typeSlim Fit
Sleeve typeHalf Sleeve
Collar styleButton Down
LengthStandard Length
Country of OriginIndia
About this item
Half sleeve Shirts
SlimFit",Medium blue,566,https://www.amazon.in/dp/B0BPYF8CBB/ref=sspa_dk_detail_4?psc=1&pd_rd_i=B0BPYF8CBB&pd_rd_w=bzG69&content-id=amzn1.sym.9f1cb690-f0b7-44de-b6ff-1bad1e37d3f0&pf_rd_p=9f1cb690-f0b7-44de-b6ff-1bad1e37d3f0&pf_rd_r=ASD9959CYRPQK411DY1P&pd_rd_wg=6kGux&pd_rd_r=d4ea679b-6729-42ac-afc2-26cc895f1412&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM,https://m.media-amazon.com/images/I/81xbTS1lB+L._SX569_.jpg
Shirt,Peter England Men's Solid Slim Fit Full Sleeve Shirt,SPRKX008,"Material composition100% Cotton
PatternSolid
Fit typeSlim Fit
Sleeve typeLong Sleeve
Collar styleSpread Collar
LengthStandard Length
Country of OriginIndia",Black,889,https://www.amazon.in/CB-COLEBROOK-Casual-Regular-Fashion-Textured/dp/B0D3PVHX49/ref=sr_1_6?crid=2ZZ0ZL59XDL7V&dib=eyJ2IjoiMSJ9.oROz9e5RT2s0J5O7sK4CgJWYR-VtStGHT1Eit-5cFKDAjq2Fsg-jTV6fPgwvIhxQY6E-BeKaxYV61bBiXyiadELSG92qYJPF9GmFyqdaRVFH6DD9_Rn9oB6fMvRMZ__jcFyZ01LtKycLT1TwSoS43cbMTZDlzi7gpEPXfSrYltEISn2g6hQn_PAhPFFnd4GXYNgoxg0PCbMT9uONCJ08DOLGaE9pa23_fHlXl78Ktfggawgy3iuk4EX3-G3za7JYSSr1WcRVhyUM8XmPnaKg0N2uWbNInFY24fUYlmPv9Vc.5fWbfbJl6WdkmgGsOlFk1R51c29fETjrV5iXzB5mr2E&dib_tag=se&keywords=shirt&qid=1721498202&sprefix=shirt%2Caps%2C664&sr=8-6,https://m.media-amazon.com/images/I/51RgKA1pC1L.jpg
Shirt, Men's Casual Button Down Shirts Long Sleeve Linen Shirt Fashion Textured Beach Summer Shirt,SPRKX009,"Material compositionSoft, Breathable and Light Fabric
Fit typeRegular Fit
Sleeve typeLong Sleeve
Collar styleSpread Collar
LengthStandard Length
Neck styleCollared Neck
Country of OriginIndia
About this item
【Premium Material】This mens button down shirt is made of premium textured fabric,which is breathable, lightweight,soft, skin-friendly,keeping you cool and comfortable in the summer.
【Unique Design】Mens casual shirts feature long sleeve,spread collar, solid color,slight vertical ribbing,relaxed fit,simple and fashion
【Various Outfits】Men linen shirts could be easy to match with linen shorts/pants, casual pants or shorts to create a simple but fashionable style.
【Occasions】Mens untucked shirts is a great choice for beach, wedding, vacation, cruises, tropical aloha theme, party, yoga, work or daily casual wear.Perfect great for all seasons, Just enjoy your vacation.
【Garment Care】: Machine washable. Please refer to the size chart before ordering.",black,699,https://www.amazon.in/CB-COLEBROOK-Casual-Regular-Fashion-Textured/dp/B0D3PVHX49/ref=sr_1_6?dib=eyJ2IjoiMSJ9.oROz9e5RT2s0J5O7sK4CgJWYR-VtStGHT1Eit-5cFKDAjq2Fsg-jTV6fPgwvIhxQY6E-BeKaxYV61bBiXyiadELSG92qYJPF9GmFyqdaRVFwxWMionksUu4p36ipvkXKXrPFvTv8uw3UtKbF91uE_6wSYaqJtdbKMJLYtIGmzrFSc5UVU2dmpaxSXGb3uI1QYNgoxg0PCbMT9uONCJ08DOLGaE9pa23_fHlXl78Ktfguv2oXAX575ITB-UPsNY4u77hwcSy37QBrgJ0RxuO1sJclaIhiYM7vzARo6KVrDy0.BKCQdml18qzYuPBGD3zGNYTVFz_Y5A2qFM6jucV-lmc&dib_tag=se&keywords=shirt&qid=1721498860&sr=8-6,https://m.media-amazon.com/images/I/51RgKA1pC1L.jpg
Shirt,Pinkmint Mens Long Sleeve Button Down Shirt for Men Collared Casual Formal Soild Shirt,SPRKX010,"Product details
Material compositionCotton
PatternSolid
Fit typeClassic Fit
Sleeve typeRaglan Sleeve
Collar styleButton Down
LengthStandard Length
Country of OriginIndia
About this item
Cotton Shirts for Men|| Style:- Soild Shirts for Men
Truly comfortable and easy to wear in every season it is insulating in winter and breathable in summer.
This Stylish Shirt with Collar Has a Spread Collar and Long Sleeves.
It's a perfect choice for your daily casual wear, business, dates, formal, shopping, party, outdoor activities, and any other occasions in Spring, Summer, Fall and Winter
Team it with a pair of tapered denims Or Solid Chinos and Loafers for a fun Smart Casual look",grey,659,https://www.amazon.in/Pinkmint-Sleeve-Button-Collared-Casual/dp/B0CW1PBTZP/ref=sr_1_7?dib=eyJ2IjoiMSJ9.oROz9e5RT2s0J5O7sK4CgJWYR-VtStGHT1Eit-5cFKDAjq2Fsg-jTV6fPgwvIhxQY6E-BeKaxYV61bBiXyiadELSG92qYJPF9GmFyqdaRVFwxWMionksUu4p36ipvkXKXrPFvTv8uw3UtKbF91uE_6wSYaqJtdbKMJLYtIGmzrFSc5UVU2dmpaxSXGb3uI1QYNgoxg0PCbMT9uONCJ08DOLGaE9pa23_fHlXl78Ktfguv2oXAX575ITB-UPsNY4u77hwcSy37QBrgJ0RxuO1sJclaIhiYM7vzARo6KVrDy0.BKCQdml18qzYuPBGD3zGNYTVFz_Y5A2qFM6jucV-lmc&dib_tag=se&keywords=shirt&qid=1721498860&sr=8-7,https://m.media-amazon.com/images/I/61WswLTIRqL._SY879_.jpg
Shirt,IndoPrimo Men's Cotton Casual Regular Fit Green Checks Shirt for Men Full Sleeves - Harley,SPRKX011,"Product details
Material compositionPremium Cotton fabric
PatternCheckered
Fit typeRegular Fit
Sleeve typeLong Sleeve
Collar styleRegular
LengthStandard Length
Country of OriginIndia
About this item
Soft Touch Cotton Fabrics: Good capability of tenderness, air permeability and moisture absorption feels soft and comfy
Closure :- Button , Sleeve Type :- Full Sleeve , Occasion :- Casual
Regular Fit , Fabric: Soft Touch Cotton , Full Sleeve ,Casual Shirts
High Qluality Fabric And Stitching Show As Same Of Images Products
About the Brand IndoPrimo : Finding Basic Menswear for daily use can be hard among today’s Fast fashion world, where trends change daily. That’s why we started IndoPrimo to create a one stop shop for premium essential clothing for everyday use at lowest prices IndoPrimo Have Own manufacturing Unit And Bigger Professional Cutting Person And Making Person And Send Shirt After All QC.",green,699,https://www.amazon.in/IndoPrimo-Cotton-Casual-Regular-Sleeves/dp/B0CFDVBFRP/ref=sr_1_9?dib=eyJ2IjoiMSJ9.oROz9e5RT2s0J5O7sK4CgJWYR-VtStGHT1Eit-5cFKDAjq2Fsg-jTV6fPgwvIhxQY6E-BeKaxYV61bBiXyiadELSG92qYJPF9GmFyqdaRVFwxWMionksUu4p36ipvkXKXrPFvTv8uw3UtKbF91uE_6wSYaqJtdbKMJLYtIGmzrFSc5UVU2dmpaxSXGb3uI1QYNgoxg0PCbMT9uONCJ08DOLGaE9pa23_fHlXl78Ktfguv2oXAX575ITB-UPsNY4u77hwcSy37QBrgJ0RxuO1sJclaIhiYM7vzARo6KVrDy0.BKCQdml18qzYuPBGD3zGNYTVFz_Y5A2qFM6jucV-lmc&dib_tag=se&keywords=shirt&qid=1721498860&sr=8-9,https://m.media-amazon.com/images/I/618LbDYIVRL._SY741_.jpg
Shirt,GRECIILOOKS Men's Regular Fit Shirt,SPRKX012,"Product details
Material composition85% POLY 15%COTTON
PatternSolid
Fit typeRegular Fit
Sleeve typeLong Sleeve
Collar styleREGULAR COLLAR
LengthStandard Length
Country of OriginIndia
About this item
Package Includes : Pack of 1 Fancy Stylish Textured Shirts For Men
Sleeve and Material : Full Sleeve Popcorn Material Men's shirt
Collar and Fit Type : Regular Fit Pointed Collar Fancy Casual Shirt for Men
Enhance Look : Enhance Your Look by Wearing this Casual Stylish Men's shirt, Team it with a Pair of Tapered Denims Or Solid Chinos and Loafers for a fun Smart Casual Look.
Perfect For : Perfect Gift You Can Gift This Shirt to You Friend, Father, Grandfather, Boyfriend on Birthday, Festivals. We Offer the Right Blend of Quality, Style and Value Aimed to Delight Our Customers. Look Like the Professional That You Are with a Clean, Classic Design That Gives You the Comfort Needed for All Occasions, Office Meetings, Business Daily Routine.",white,499,https://www.amazon.in/GRECIILOOKS-Solid-Regular-Shirt-GL-MS-6134_White/dp/B0CLZWSF4Z/ref=sr_1_10?dib=eyJ2IjoiMSJ9.oROz9e5RT2s0J5O7sK4CgJWYR-VtStGHT1Eit-5cFKDAjq2Fsg-jTV6fPgwvIhxQY6E-BeKaxYV61bBiXyiadELSG92qYJPF9GmFyqdaRVFwxWMionksUu4p36ipvkXKXrPFvTv8uw3UtKbF91uE_6wSYaqJtdbKMJLYtIGmzrFSc5UVU2dmpaxSXGb3uI1QYNgoxg0PCbMT9uONCJ08DOLGaE9pa23_fHlXl78Ktfguv2oXAX575ITB-UPsNY4u77hwcSy37QBrgJ0RxuO1sJclaIhiYM7vzARo6KVrDy0.BKCQdml18qzYuPBGD3zGNYTVFz_Y5A2qFM6jucV-lmc&dib_tag=se&keywords=shirt&qid=1721498860&sr=8-10,https://m.media-amazon.com/images/I/71QrkXBPABL._SY879_.jpg
Shirt,FUNKY RICH Funkyrich® Textured Popcorn Shirts for Men || Casual Shirt for Men || Shirt for Men|| Men Stylish Half Sleeve Shirt || Men Fancy Shirt || Self Design Lapel Collar Casual Shirt,SPRKX0013,"Product details
Material compositionPOPCORN
Fit typeClassic Fit
Sleeve typeHalf Sleeve
LengthStandard Length
Neck styleDom
StyleWestern
Country of OriginIndia
About this item
Easy Care: Simple to maintain with machine-washable and iron-friendly features
Package Includes : Pack of 1 Fancy Stylish Textured Shirts For Men
Sleeve and Material : Half Sleeve Popcorn Material Men's shirt Men's shirt
Collar and Fit Type : Regular Fit Pointed Collar Fancy Casual Shirt for Men
Enhance Look : Enhance Your Look by Wearing this Casual Stylish Men's shirt, Team it with a Pair of Tapered Denims Or Solid Chinos and Loafers for a fun Smart Casual Look
Perfect For : Perfect Gift You Can Gift This Shirt to You Friend, Father, Grandfather, Boyfriend on Birthday, Festivals. We Offer the Right Blend of Quality, Style and Value Aimed to Delight Our Customers. Look Like the Professional That You Are with a Clean, Classic Design That Gives You the Comfort Needed for All Occasions, Office Meetings, Business Daily Routine.",white,459,https://www.amazon.in/FUNKY-RICH-Funkyrich%C2%AE-Textured-Popcorn/dp/B0D1KMC11T/ref=sr_1_11?dib=eyJ2IjoiMSJ9.oROz9e5RT2s0J5O7sK4CgJWYR-VtStGHT1Eit-5cFKDAjq2Fsg-jTV6fPgwvIhxQY6E-BeKaxYV61bBiXyiadELSG92qYJPF9GmFyqdaRVFwxWMionksUu4p36ipvkXKXrPFvTv8uw3UtKbF91uE_6wSYaqJtdbKMJLYtIGmzrFSc5UVU2dmpaxSXGb3uI1QYNgoxg0PCbMT9uONCJ08DOLGaE9pa23_fHlXl78Ktfguv2oXAX575ITB-UPsNY4u77hwcSy37QBrgJ0RxuO1sJclaIhiYM7vzARo6KVrDy0.BKCQdml18qzYuPBGD3zGNYTVFz_Y5A2qFM6jucV-lmc&dib_tag=se&keywords=shirt&qid=1721498860&sr=8-11,https://m.media-amazon.com/images/I/518n4wn7k6L.jpg
